Time
2023-06-22T21:09:56.579039,b'2237128:1024'
2023-06-22T21:09:56.582279,b'2237132:1024'
2023-06-22T21:09:56.585669,b'2237135:1024'
2023-06-22T21:09:56.589759,b'2237139:1024'
2023-06-22T21:09:56.593415,b'2237143:1024'
2023-06-22T21:09:56.598928,b'2237147:1024'
2023-06-22T21:09:56.601073,b'2237151:1024'
2023-06-22T21:09:56.605374,b'2237155:1024'
2023-06-22T21:09:56.608703,b'2237158:1024'
2023-06-22T21:09:56.612128,b'2237162:1024'
2023-06-22T21:09:56.616523,b'2237166:1024'
2023-06-22T21:09:56.620875,b'2237170:1024'
2023-06-22T21:09:56.624440,b'2237174:1024'
2023-06-22T21:09:56.627584,b'2237178:1024'
2023-06-22T21:09:56.632060,b'2237181:1024'
2023-06-22T21:09:56.638619,b'2237185:1024'
2023-06-22T21:09:56.639609,b'2237189:1024'
2023-06-22T21:09:56.643920,b'2237193:1024'
2023-06-22T21:09:56.646987,b'2237197:1024'
2023-06-22T21:09:56.651334,b'2237201:1024'
2023-06-22T21:09:56.654776,b'2237205:1024'
2023-06-22T21:09:56.659158,b'2237208:1024'
2023-06-22T21:09:56.662759,b'2237212:1024'
2023-06-22T21:09:56.666956,b'2237216:1024'
2023-06-22T21:09:56.670943,b'2237220:1024'
2023-06-22T21:09:56.674601,b'2237224:1024'
2023-06-22T21:09:56.678068,b'2237228:1024'
2023-06-22T21:09:56.681400,b'2237231:1024'
2023-06-22T21:09:56.685781,b'2237235:1024'
2023-06-22T21:09:56.689156,b'2237239:1024'
2023-06-22T21:09:56.693708,b'2237243:1024'
2023-06-22T21:09:56.697003,b'2237247:1024'
2023-06-22T21:09:56.701391,b'2237251:1024'
2023-06-22T21:09:56.704393,b'2237254:1024'
2023-06-22T21:09:56.708606,b'2237258:1024'
2023-06-22T21:09:56.712807,b'2237262:1024'
2023-06-22T21:09:56.716333,b'2237266:1024'
2023-06-22T21:09:56.720662,b'2237270:1024'
2023-06-22T21:09:56.723782,b'2237274:1024'
2023-06-22T21:09:56.728463,b'2237277:1024'
2023-06-22T21:09:56.732069,b'2237281:1024'
2023-06-22T21:09:56.736498,b'2237285:1024'
2023-06-22T21:09:56.740886,b'2237289:1024'
2023-06-22T21:09:56.744300,b'2237293:1024'
2023-06-22T21:09:56.747309,b'2237297:1024'
2023-06-22T21:09:56.750948,b'2237300:1024'
2023-06-22T21:09:56.754888,b'2237304:1024'
2023-06-22T21:09:56.758104,b'2237308:1024'
2023-06-22T21:09:56.762574,b'2237312:1024'
2023-06-22T21:09:56.766573,b'2237316:1024'
2023-06-22T21:09:56.769989,b'2237320:1024'
2023-06-22T21:09:56.774557,b'2237324:1024'
2023-06-22T21:09:56.777549,b'2237327:1024'
2023-06-22T21:09:56.782144,b'2237331:1024'
2023-06-22T21:09:56.786300,b'2237335:1024'
2023-06-22T21:09:56.789533,b'2237339:1024'
2023-06-22T21:09:56.793690,b'2237343:1024'
2023-06-22T21:09:56.797126,b'2237347:1024'
2023-06-22T21:09:56.803790,b'2237350:1024'
2023-06-22T21:09:56.805764,b'2237354:1024'
2023-06-22T21:09:56.809282,b'2237358:1024'
2023-06-22T21:09:56.812467,b'2237362:1024'
2023-06-22T21:09:56.817107,b'2237366:1024'
2023-06-22T21:09:56.820835,b'2237370:1024'
2023-06-22T21:09:56.824223,b'2237374:1024'
2023-06-22T21:09:56.828491,b'2237378:1024'
2023-06-22T21:09:56.831716,b'2237382:1024'
2023-06-22T21:09:56.836269,b'2237385:1024'
